sample_id,sample_stratum,source_dataset,source_row_id,source_file,source_family,record_id,cluster_id,cluster_candidate_rows,cluster_source_rows,eval_corpora,eval_fingerprint_rows,raw_status,raw_reasons,similarity,content_hash,prompt_hash,candidate_projection_empty,all_eval_projections_empty,false_positive_candidate,false_positive_basis,recommended_disposition,sample_priority
1,frontier_multi_teacher|data/glm47_native|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,data/glm47_native/train-00009-of-00021.parquet#44,data/glm47_native/train-00009-of-00021.parquet,data/glm47_native,77ed1d758234850cc0453aac507efd6e49a7084e78375024ebe89e27de11817e,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,000005dfcd71d715
2,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/qwen3-le-4096.parquet#49377,metadata/context_buckets/qwen3-le-4096.parquet,metadata/context_buckets,f3d78b030ebaaccf9fdc4fe35e1bb690f8d2b836a20053fb8ce30d2e7b3cd935,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,000017a4b0ac858f
3,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/qwen3-le-8192.parquet#14024,metadata/context_buckets/qwen3-le-8192.parquet,metadata/context_buckets,b2951abcf56fd55daac3c73cb78c050f3e7ef35dbcf223fba69657f7e9a4926f,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,00001c1a76efaf96
4,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/qwen3-le-8192.parquet#43901,metadata/context_buckets/qwen3-le-8192.parquet,metadata/context_buckets,da924b5537d6551eee27e104866a65d612215284e43a0cc286657e0cfdbcc067,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,00001dd08c57e9d9
5,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/llama31_final-le-32768.parquet#22200,metadata/context_buckets/llama31_final-le-32768.parquet,metadata/context_buckets,d44de5afa7ee468021109f07c9a48c941dc8590c837820aeabe176e5a89d5d72,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,000021a0efe1fba4
6,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/glm47-le-32768.parquet#14533,metadata/context_buckets/glm47-le-32768.parquet,metadata/context_buckets,6e33f2f21da675f64c64f4076f2be7c77b26a6be99fd134251a851eadd813e72,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,0000226f7a193eb6
7,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/glm47-le-65536.parquet#29384,metadata/context_buckets/glm47-le-65536.parquet,metadata/context_buckets,40f491874dca6d54f552504afbf6989b5cd6617e392d708dd14f9c9a1a1c4e5d,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,000023bb0f465886
8,frontier_multi_teacher|data/prompt_completion_text|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,data/prompt_completion_text/validation-00000-of-00001.parquet#2007,data/prompt_completion_text/validation-00000-of-00001.parquet,data/prompt_completion_text,a44e575d1b50b4d374e223bb4ee1d0a5603db69880356cce50a1a3770e80530e,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,00002d2c36ff1ed9
9,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/llama31_final-le-16384.parquet#43426,metadata/context_buckets/llama31_final-le-16384.parquet,metadata/context_buckets,ed48279883d5f694a59b3a9b4d10215707c25b4fcd15cacd0ee23d3ce7cda7c8,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,00003e08c1df9d81
10,frontier_multi_teacher|metadata/context_buckets|content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,frontier_multi_teacher,metadata/context_buckets/qwen3-le-65536.parquet#32102,metadata/context_buckets/qwen3-le-65536.parquet,metadata/context_buckets,58b11ec2086c7902ab6588b5144f7fe16b4e1e74a9a4e29d040123ed54626b7a,content_sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393704,1393704,japanese_mt_bench,430,quarantine_exact,full_content_sha256,1.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,True,True,True,candidate_and_eval_normalized_content_are_empty,keep_quarantined_and_rescan_after_extractor_fix,00003ee484c23e4a
