dataset_id,repo,local_path,found,physical_file_count,logical_file_count,total_bytes,logical_total_bytes,row_count,row_count_known,unknown_row_count_files,file_formats,configs,splits,revision,license_metadata,language_metadata,source_category,source_metadata,schema_summary,teacher_source_fields,teacher_counts,length_median_chars,length_p95_chars,length_observed_rows,token_median_estimate,token_p95_estimate,audit_scope,adapter_warnings
extraction_wiki_ja,llm-jp/extraction-wiki-ja,E:\zipangu-datesets\llm-jp__extraction-wiki-ja,True,3,3,107120056,107120056,152719,True,0,.parquet,"v0.1,v0.2,v0.3",train,unknown,"""apache-2.0""","[""ja""]",japanese_instruction_extraction,"{""category"": ""japanese_instruction_extraction"", ""license_expected"": ""apache-2.0"", ""repo"": ""llm-jp/extraction-wiki-ja"", ""vendor_specific"": false}","{""conversations"": [""list<element: struct<content: string, role: string>>""], ""id"": [""string""]}",[],"{""unknown"": 152719}",691.0,1846.25,152719,346.0,923.25,full,
magpie_sft_v1,llm-jp/magpie-sft-v1.0,E:\zipangu-datesets\llm-jp__magpie-sft-v1.0,True,1,1,284154581,284154581,132476,True,0,.jsonl,default,magpie-sft-v1.0,unknown,"""apache-2.0""","[""ja""]",japanese_general_instruction,"{""category"": ""japanese_general_instruction"", ""license_expected"": ""unknown"", ""repo"": ""llm-jp/magpie-sft-v1.0"", ""vendor_specific"": false}","{""conversations"": [""list""], ""gen_asst_configs"": [""dict""], ""gen_usr_configs"": [""dict""], ""id"": [""int""]}",[],"{""Qwen/Qwen2.5-32B-Instruct"": 132476}",630.0,1023.25,132476,315.0,512.0,full,
nemotron_sft_multilingual_v2,nvidia/Nemotron-SFT-Multilingual-v2,E:\zipangu-datesets\nvidia__Nemotron-SFT-Multilingual-v2,True,12,12,12460641142,12460641142,370081,True,0,.jsonl,default,"code_hi,code_ja,code_ko,code_pt,math_hi,math_ja,math_ko,math_pt,stem_hi,stem_ja,stem_ko,stem_pt",unknown,"[""cc-by-4.0"", ""cc-by-sa-4.0""]","[""en"", ""hi"", ""ja"", ""ko"", ""pt""]",japanese_stem_code_math,"{""category"": ""japanese_stem_code_math"", ""license_expected"": ""mixed_cc_by_and_cc_by_sa"", ""repo"": ""nvidia/Nemotron-SFT-Multilingual-v2"", ""vendor_specific"": false}","{""license"": [""str""], ""messages"": [""list""], ""metadata"": [""dict""], ""tools"": [""list""], ""used_in"": [""list""], ""uuid"": [""str""]}",[],"{""unknown"": 370081}",2517.0,7986.75,370081,1259.0,3993.5,full,
math_japanese_8k,awakara/Math-Japanese-8k,E:\zipangu-datesets\awakara__Math-Japanese-8k,True,1,1,11866128,11866128,8094,True,0,.jsonl,default,train,unknown,"""unknown""","[""ja""]",japanese_math,"{""category"": ""japanese_math"", ""license_expected"": ""unknown"", ""repo"": ""awakara/Math-Japanese-8k"", ""vendor_specific"": false}","{""input"": [""str""], ""instruction"": [""str""], ""output"": [""str""]}",[],"{""unknown"": 8094}",574.5,907.25,8094,287.5,454.0,full,
ace_reason_math_japanese,SousiOmine/AceReason-Math-Japanese,E:\zipangu-datesets\SousiOmine__AceReason-Math-Japanese,True,1,1,2707053,2707053,10000,True,0,.parquet,default,train,unknown,"""cc-by-4.0""","[""ja""]",japanese_math,"{""category"": ""japanese_math"", ""license_expected"": ""unknown"", ""repo"": ""SousiOmine/AceReason-Math-Japanese"", ""vendor_specific"": false}","{""answer"": [""string""], ""problem"": [""string""], ""problem_en"": [""string""]}",[],"{""unknown"": 10000}",105.0,257.0,10000,53.0,129.0,full,
awesome_japanese_corpus,nakasyou/awesome-japanese-corpus,E:\zipangu-datesets\nakasyou__awesome-japanese-corpus,True,1228,1228,97421096463,97421096463,169958848,True,0,.parquet,default,train,unknown,"[""odc-by"", ""cc-by-4.0""]","[""ja""]",japanese_corpus,"{""category"": ""japanese_corpus"", ""license_expected"": ""unknown"", ""repo"": ""nakasyou/awesome-japanese-corpus"", ""vendor_specific"": false}","{""from"": [""string""], ""from_license"": [""string""], ""text"": [""string""]}",[],{},,,0,,,sampled,
gpt_5_6_traces,Manusagents/GPT-5.6-Sol-Luna-Terra-Traces,E:\zipangu-datesets\Manusagents__GPT-5.6-Sol-Luna-Terra-Traces,True,1,1,36197525,36197525,6288,True,0,.parquet,default,train,unknown,"""cc-by-4.0""","[""en""]",frontier_reasoning,"{""category"": ""frontier_reasoning"", ""license_expected"": ""cc-by-4.0"", ""repo"": ""Manusagents/GPT-5.6-Sol-Luna-Terra-Traces"", ""vendor_specific"": true}","{""first_source_config"": [""string""], ""first_source_dataset"": [""string""], ""first_source_row_index"": [""int64""], ""first_source_split"": [""string""], ""row_hash"": [""string""], ""row_json"": [""string""], ""seen_count"": [""int64""]}","[""first_source_config"", ""first_source_dataset"", ""first_source_row_index"", ""first_source_split""]",{},,,0,,,full,
fable_5_5_distillation,RESMP-DEV/Fable-GPT-5.5-Distillation-Traces,E:\zipangu-datesets\RESMP-DEV__Fable-GPT-5.5-Distillation-Traces,True,20,20,13232592182,13232592182,1981131,True,0,.parquet,default,"eval,train",unknown,"""cc-by-4.0""","[""en"", ""ru"", ""tr""]",frontier_reasoning_merged,"{""category"": ""frontier_reasoning_merged"", ""license_expected"": ""cc-by-4.0_with_upstream_constraints"", ""repo"": ""RESMP-DEV/Fable-GPT-5.5-Distillation-Traces"", ""vendor_specific"": true}","{""messages"": [""string""], ""metadata"": [""string""], ""model"": [""string""], ""n_turns"": [""int64""], ""session_id"": [""string""], ""source"": [""string""], ""split"": [""string""]}","[""model"", ""source""]",{},,,0,,,full,
claude_fable_code,armand0e/claude-fable-5-claude-code,E:\zipangu-datesets\armand0e__claude-fable-5-claude-code,True,63,63,75104357,75104357,18370,True,0,.jsonl,default,"004c0d63-c96f-431d-8cf8-f78ca9367eb5,06ec42c3-2184-40c5-b0ee-98c3235b4c4c,17643245-7004-426a-b3d0-40a5fb6fd397,189f0549-c2fc-4fc7-b50d-37cd255eabf2,1afc3cc3-792e-49a2-83c4-19ddb66ba008,1d29fdca-8b1a-4087-b14f-7c4e69701fbe,21576682-1c94-4e42-a9d2-0f9e0137ffa7,2f6b46c2-a83e-43e7-9012-76c7b434abba,311883ad-f031-4619-ab72-1aeb410a9123,32bd3eac-d079-4d7f-8f49-b34180656abd,32c96eea-ab6f-4268-9f48-60fb2c8838e7,3691aa67-12fe-404f-b33e-9bc0bce0d4d1,3b47d4c6-c3ee-4a3b-92b0-4b434ab3c033,44b273b6-9dbc-4b68-9520-965d98377043,471accf0-3df7-4e2e-a567-a094f8f8d585,485078ae-64bc-4bf5-a385-2d65a1108dae,4b456a37-0524-420a-a4a1-67db0efa4881,4b853fa6-aed6-494b-9a13-2cda8c3531ec,4c99dff8-2213-4365-a651-3d78e202a489,539c47c6-0b8c-40ff-8947-bf3ebb30900a,554c2eb9-9cf9-4078-a6a2-82456a53f189,58344d60-96b2-4ff5-8987-08b3e4f6f515,5c0d7bef-0751-49d2-b55e-72fd00abedd2,5eeb7e10-99a4-4d7d-a505-3ef47dcab480,602033e7-dc55-4b7f-909f-1c67135d8f4b,660bf750-e54d-4619-93ac-7c1877343220,66d893d9-ee7f-4ca7-bdb6-99e8dabb601d,68396a0d-8585-4d00-9321-54b2b00c07f4,6917f657-870f-48a6-84fa-a774d4699ccf,6ab67974-013e-44ab-8ae8-3c64ef6cb770,6ae0aeed-340e-4b4d-9d74-f905a74ca2fc,7274969b-ab5c-461c-bc7c-8434eb9eb42e,743a2f8c-6846-4e89-848c-9c4679492491,7758cfa4-f4c8-4cb9-8ea3-30697ba1dfad,7da8c055-9995-4731-a147-bf2a9e1251c2,89becffe-10a0-4022-b92b-c0bd8ddc3206,90a22dda-0de2-4658-89f8-f55f7facd6bc,92726ffc-0be8-4bd6-8d60-9164883f67d5,9fc7c249-f2cb-4fd6-8417-85caec1816df,a13efdaa-96ed-4ab0-a4c4-240692be0f10,ac6c27f7-e781-47f0-afb4-b089c7f12742,agent-a68c3d43360a5ed83,agent-a7fa04d5e85bd5c0a,agent-a8466eb290f99ea00,agent-a87ca9b22d0fee3f9,agent-a8d979113b5d895ee,agent-a8da0aea214c5e781,agent-a93f2cd3c99c3d4ed,agent-aa3612085487e6586,b0e959f7-df98-445f-808f-4d38b25e4e01,bcfbd960-e7f5-42ee-bb37-183b81ab12e3,bd2f5aa9-a725-436b-b4ef-c1e05496c7cb,c6d4788b-6bb6-4774-8294-5dc897346ca9,c7c6924c-09c0-4c89-9ce1-a2080fd18f8f,c8264cd7-40ec-4d52-b3e8-e07a0d8a710f,d9c29410-80a6-4e34-aab1-0c7e5bb7110f,e1b4c95f-4884-49f5-b266-3f8b69929958,e3d0c93f-5cf8-4067-9a49-657ba5c67c80,e8b69c49-ad36-49d0-8998-c50a1e83e457,e91a5346-6059-4f85-a564-37dcd53380db,f587cec0-5329-4595-86e5-b9513e82e1a1,f8b99555-306c-482a-923f-395b40aadff3,f956721a-0af7-4bdc-8678-3a493d8fcd39",unknown,"""unknown""",[],coding_agent,"{""category"": ""coding_agent"", ""license_expected"": ""unknown"", ""repo"": ""armand0e/claude-fable-5-claude-code"", ""vendor_specific"": true}","{""agentId"": [""str""], ""aiTitle"": [""str""], ""apiErrorStatus"": [""int""], ""attachment"": [""dict""], ""attributionAgent"": [""str""], ""attributionMcpServer"": [""str""], ""attributionMcpTool"": [""str""], ""attributionSkill"": [""str""], ""bridgeSessionId"": [""str""], ""content"": [""str""], ""customTitle"": [""str""], ""cwd"": [""str""], ""durationMs"": [""int""], ""entrypoint"": [""str""], ""error"": [""dict"", ""str""], ""gitBranch"": [""str""], ""hasOutput"": [""bool""], ""hookAdditionalContext"": [""list""], ""hookCount"": [""int""], ""hookErrors"": [""list""], ""hookInfos"": [""list""], ""imagePasteIds"": [""list""], ""interruptedMessageId"": [""str""], ""isApiErrorMessage"": [""bool""], ""isMeta"": [""bool""], ""isSidechain"": [""bool""], ""isSnapshotUpdate"": [""bool""], ""lastPrompt"": [""str""], ""lastSequenceNum"": [""int""], ""leafUuid"": [""str""], ""level"": [""str""], ""maxRetries"": [""int""], ""message"": [""dict""], ""messageCount"": [""int""], ""messageId"": [""str""], ""mode"": [""str""], ""operation"": [""str""], ""origin"": [""dict""], ""parentUuid"": [""NoneType"", ""str""], ""pendingWorkflowCount"": [""int""], ""permissionMode"": [""str""], ""preventedContinuation"": [""bool""], ""promptId"": [""str""], ""promptSource"": [""str""], ""requestId"": [""str""], ""retryAttempt"": [""int""], ""retryInMs"": [""float""], ""sessionId"": [""str""], ""slug"": [""str""], ""snapshot"": [""dict""], ""sourceToolAssistantUUID"": [""str""], ""sourceToolUseID"": [""str""], ""stopReason"": [""str""], ""subtype"": [""str""], ""timestamp"": [""str""], ""toolUseID"": [""str""], ""toolUseResult"": [""dict"", ""list"", ""str""], ""type"": [""str""], ""userType"": [""str""], ""uuid"": [""str""], ""version"": [""str""]}","[""promptSource"", ""sourceToolAssistantUUID"", ""sourceToolUseID""]","{""unknown"": 10}",36560.5,235878.4,10,18280.5,117939.2,full,
frontier_multi_teacher,r0b0tlab/qwen3.8-max-glm5.2-kimi-k3-distillation,E:\zipangu-datesets\r0b0tlab__qwen3.8-max-glm5.2-kimi-k3-distillation,True,213,213,827086944,827086944,1976658,True,0,.parquet,default,"glm47-le-131072,glm47-le-16384,glm47-le-32768,glm47-le-4096,glm47-le-65536,glm47-le-8192,glm47-long-outlier,llama31_final-le-131072,llama31_final-le-16384,llama31_final-le-32768,llama31_final-le-4096,llama31_final-le-65536,llama31_final-le-8192,llama31_final-long-outlier,prompt_completion_text,qwen3-le-131072,qwen3-le-16384,qwen3-le-32768,qwen3-le-4096,qwen3-le-65536,qwen3-le-8192,qwen3-long-outlier,rl_tool_prompts,sft_reasoning,sft_tools,smoke,test,train,validation",unknown,"""other""","[""en"", ""zh"", ""es"", ""fr"", ""de"", ""ja""]",frontier_reasoning,"{""category"": ""frontier_reasoning"", ""license_expected"": ""inspect_source"", ""repo"": ""r0b0tlab/qwen3.8-max-glm5.2-kimi-k3-distillation"", ""vendor_specific"": true}","{""assistant_tokens"": [""int32""], ""completion_text"": [""string""], ""dedup_cluster_id"": [""string""], ""disposition"": [""string""], ""domain"": [""string""], ""expected_terminal_oracle_json"": [""string""], ""family"": [""string""], ""family_oracle_passed"": [""bool""], ""format_score_raw"": [""double""], ""glm47_assistant_tokens"": [""int32""], ""glm47_context_bucket"": [""string""], ""glm47_final_payload_tokens"": [""int32""], ""glm47_loss_ratio"": [""double""], ""glm47_mask_method"": [""string""], ""glm47_reasoning_payload_tokens"": [""int32""], ""glm47_tool_call_payload_tokens"": [""int32""], ""glm47_tool_observation_tokens"": [""int32""], ""glm47_total_tokens"": [""int32""], ""ground_truth_json"": [""string""], ""id"": [""string""], ""input_ids"": [""list<element: int32>""], ""labels"": [""list<element: int32>""], ""llama31_context_bucket"": [""string""], ""llama31_final_assistant_tokens"": [""int32""], ""llama31_final_total_tokens"": [""int32""], ""llama31_mask_method"": [""string""], ""mask_method"": [""string""], ""max_validated_tokens"": [""int32""], ""messages"": [""list<element: struct<role: string, content: string, reasoning_content: string, tool_calls: list<element: struct<id: string, type: string, function: struct<name: string, arguments: string>>>, tool_call_id: string, name: string, trainable: bool>>""], ""messages_json"": [""string""], ""n_assistant_turns"": [""int32""], ""n_tool_calls"": [""int32""], ""parent_id"": [""string""], ""plain_completion_tokens"": [""int32""], ""plain_context_bucket"": [""string""], ""plain_prompt_tokens"": [""int32""], ""prompt_cluster_id"": [""string""], ""prompt_messages_json"": [""string""], ""prompt_text"": [""string""], ""quality_flags"": [""list<element: string>""], ""qwen3_assistant_tokens"": [""int32""], ""qwen3_context_bucket"": [""string""], ""qwen3_final_payload_tokens"": [""int32""], ""qwen3_loss_ratio"": [""double""], ""qwen3_mask_method"": [""string""], ""qwen3_reasoning_payload_tokens"": [""int32""], ""qwen3_tool_call_payload_tokens"": [""int32""], ""qwen3_tool_observation_tokens"": [""int32""], ""qwen3_total_tokens"": [""int32""], ""reference_agreement"": [""bool""], ""renderer_revision"": [""string""], ""reward_contract_json"": [""string""], ""sampling_weight"": [""double""], ""sampling_weight_glm47"": [""double""], ""sampling_weight_llama31_final"": [""double""], ""sampling_weight_qwen3"": [""double""], ""schema_version"": [""string""], ""source"": [""string""], ""source_item_id"": [""string""], ""source_license"": [""string""], ""source_record_hash"": [""string""], ""source_repository"": [""string""], ""source_revision"": [""string""], ""source_split"": [""string""], ""split"": [""string""], ""subdomain"": [""string""], ""task_type"": [""string""], ""teacher_model"": [""string""], ""teacher_provider"": [""string""], ""template_cluster_id"": [""string""], ""tools"": [""list<element: struct<type: string, function: struct<name: string, description: string, parameters_json: string>>>""], ""tools_json"": [""string""], ""total_tokens"": [""int32""], ""trace_kind"": [""string""], ""verifier_passed"": [""bool""]}","[""source"", ""source_item_id"", ""source_license"", ""source_record_hash"", ""source_repository"", ""source_revision"", ""source_split"", ""teacher_model"", ""teacher_provider""]",{},,,0,,,full,
