sample_id,record_id,source_dataset,source_row_id,old_status,new_status,content_sha256,prompt_sha256,exact_reason,eval_corpus,matched_eval_id,matched_eval_ids,sample_stratum,sample_priority
1,fd78ea6dab34f080d097208d9b51cddcc7053d8a4ca0c88682025e88e988152c,fable_5_5_distillation,data/train-data-00082.parquet#26756,not_checked_missing_eval_source,quarantine_exact,1cb85c7ff7ceb77bbfccbc3df108f9329d802e69d98bee7d2ad7c9fe11513779,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:1cb85c7ff7ceb77bbfccbc3df108f9329d802e69d98bee7d2ad7c9fe11513779,523dfdd8c4cc821d
2,af4904aa6dfb900c2d3922650123e4863bb6bad9987ea1dbcccebd3eda95b99d,fable_5_5_distillation,data/train-data-00082.parquet#90129,not_checked_missing_eval_source,quarantine_exact,ffc548587c108a079d71a83d0217aa95a41b25c318359960302c42074e5cc578,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:ffc548587c108a079d71a83d0217aa95a41b25c318359960302c42074e5cc578,67ca71607930a025
3,89daf280417d950ca59173669a32f2c0fe96841dc2604238d142d3cf59247e4b,fable_5_5_distillation,data/train-data-00082.parquet#93743,not_checked_missing_eval_source,quarantine_exact,a086ff9b0113d327381cd6874fd9b9b5952d7fe639ba5ce1d452d154a6888547,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:a086ff9b0113d327381cd6874fd9b9b5952d7fe639ba5ce1d452d154a6888547,71ebcc4e8c43f896
4,6fd2167824aab1a11c937fd65f22a01f73dfe078cb468da88759bae7102fa252,fable_5_5_distillation,data/train-data-00082.parquet#26761,not_checked_missing_eval_source,quarantine_exact,49096f93e09477cb30f5f9176b95f5bf11f20beac3177b3cb3742d005bbaf788,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/question/question-v0.jsonl#44,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:49096f93e09477cb30f5f9176b95f5bf11f20beac3177b3cb3742d005bbaf788,c5fa49a1bc659a0a
5,9784e84250de6fec8183acaa14c9e3d88d352c9d76c69cea6583c674601deeb2,fable_5_5_distillation,data/train-data-00007.parquet#20248,not_checked_missing_eval_source,quarantine_exact,4ffdfd06e06f42efa74e4e96ca5e62438cd745db04b1e5a4724fb94f1e231f09,404e63b7d8a19be610ac40494e80959f0af8c80bc51fb850eb1dacea32cbbe7d,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:4ffdfd06e06f42efa74e4e96ca5e62438cd745db04b1e5a4724fb94f1e231f09,18dbbd0281d62a26
6,71b88c0c956e8f21ad7250b9d704caaf772aecaf292be78ed15d393bb354cb04,fable_5_5_distillation,data/train-data-00007.parquet#20492,not_checked_missing_eval_source,quarantine_exact,11be7851a05007c08c02e3020bc61b911c2a8922b0bfed5d30154703e2b71e6f,b49773e48e2b932d0c630c2d757dd7aa8e4179217baef1cc03bfd16553fb2e11,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:11be7851a05007c08c02e3020bc61b911c2a8922b0bfed5d30154703e2b71e6f,47801d78b149f1d7
7,9fdeef25a9c0870cb5e5a42db41e60e20d9f853b63753290dd0d4aced65b0a92,fable_5_5_distillation,data/train-data-00007.parquet#19016,not_checked_missing_eval_source,quarantine_exact,0085f593d7a9d28ddf8f19ac5dafc2ab49ac8e1bd3f4ef7df167840b53e07224,b1aff7eaf524f66e190327f912a3705dd93d2720469b036fe846f77e5f03b593,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:0085f593d7a9d28ddf8f19ac5dafc2ab49ac8e1bd3f4ef7df167840b53e07224,5f9f721f093da4fd
8,d909ae2de9b4a06f9accebbe31af24e6078f106fa1444410eb92767085b10d02,fable_5_5_distillation,data/train-data-00010.parquet#92239,not_checked_missing_eval_source,quarantine_exact,b0fc4876e17a0c3d6597dd9eff15ba81ef4f8eb4afd796a89fcd5bf8eebfa1bd,17263c8c68aa9cb0b74b94115340aa9b2aab74f26cfaa43d8d9e4432c4d59f05,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#23,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:b0fc4876e17a0c3d6597dd9eff15ba81ef4f8eb4afd796a89fcd5bf8eebfa1bd,d1b4e759c4c39e91
9,716d1de005f5ba7771ddee9569f60a5e51f35dc0f9a978390904721ee3a28538,fable_5_5_distillation,data/train-data-00082.parquet#24418,not_checked_missing_eval_source,quarantine_exact,01d3d05628a51492e663fa9fea3c5d7915560781040e0c31c84a0d585bc3f360,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#25,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_en/reference_answer/gpt-4-v0.jsonl#25,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:01d3d05628a51492e663fa9fea3c5d7915560781040e0c31c84a0d585bc3f360,2e5e62d380c0aa01
10,8d90d0e8669ab7753d1d14483c9e9e39b3be8a91990e61455c3e4d3b2f570487,fable_5_5_distillation,data/train-data-00015.parquet#2579,not_checked_missing_eval_source,quarantine_exact,dc1c4f266e31802f6a74b12941fb80ff39e98e6c4feff4d482735c65c4d03313,ca7e2811979f4922cc718048b8810877432aabbd94610015a1c7413ce445f303,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_ja/reference_answer/base-gpt4o-with-human-annotation-v0.jsonl#3,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_ja/reference_answer/base-gpt4o-with-human-annotation-v0.jsonl#3,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:dc1c4f266e31802f6a74b12941fb80ff39e98e6c4feff4d482735c65c4d03313,041b48259b577a75
11,f47337acdb6d90169e69e37c7e7e87125f0a7139666868f7f406e0a324daaa36,fable_5_5_distillation,data/train-data-00007.parquet#97639,not_checked_missing_eval_source,quarantine_exact,bb6c4070aedef315c9023b6b334111697003d426bac90e69e7bdb6ddf942d14a,c666c50d4b48086e99be4077c3060580505efbbf47c927bfca3e959b4a1b96c1,long_substring_ge_80,japanese_mt_bench,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_ja/reference_answer/base-gpt4o-with-human-annotation-v0.jsonl#3,japanese_mt_bench:src/llm_jp_judge/data/mt_bench_ja/reference_answer/base-gpt4o-with-human-annotation-v0.jsonl#3,fable_5_5_distillation|japanese_mt_bench|long_substring_ge_80|content:bb6c4070aedef315c9023b6b334111697003d426bac90e69e7bdb6ddf942d14a,1f9c54c1effb62f2
